finalWorth,personName,age,country,industries,status,gender,birthDate,gdp_country,life_expectancy_country,total_tax_rate_country,economic_class,education,region
211000,Bernard Arnault & family,74.0,France,Fashion & Retail,U,M,1949-03-05 00:00:00,2715518274227.0,82.5,60.7,1,3,Europe
80500,Francoise Bettencourt Meyers & family,69.0,France,Fashion & Retail,U,F,1953-07-10 00:00:00,2715518274227.0,82.5,60.7,1,,Europe
40100,François Pinault & family,86.0,France,Fashion & Retail,D,M,1936-08-21 00:00:00,2715518274227.0,82.5,60.7,1,0,Europe
22000,Emmanuel Besnier,52.0,France,Food & Beverage,D,M,1970-09-18 00:00:00,2715518274227.0,82.5,60.7,1,,Europe
9800,"Jacques Saadé, Jr.",51.0,France,Logistics,Split Family Fortune,M,1971-08-10 00:00:00,2715518274227.0,82.5,60.7,1,,Europe
9800,Rodolphe Saadé,53.0,France,Logistics,Split Family Fortune,M,1970-03-03 00:00:00,2715518274227.0,82.5,60.7,1,,Europe
9800,Tanya Saadé Zeenny,55.0,France,Logistics,Split Family Fortune,F,1968-02-01 00:00:00,2715518274227.0,82.5,60.7,1,,Europe
9500,Vincent Bolloré & family,71.0,France,Finance & Investments,U,M,1952-04-01 00:00:00,2715518274227.0,82.5,60.7,1,3,Europe
8100,Laurent Dassault,69.0,France,Diversified,D,M,1953-07-07 00:00:00,2715518274227.0,82.5,60.7,1,3,Europe
8100,Thierry Dassault,66.0,France,Diversified,D,M,1957-03-26 00:00:00,2715518274227.0,82.5,60.7,1,,Europe
8100,Marie-Hélène Habert-Dassault,58.0,France,Diversified,D,F,1965-04-04 00:00:00,2715518274227.0,82.5,60.7,1,,Europe
7700,Jean-Michel Besnier,55.0,France,Food & Beverage,D,M,1967-06-05 00:00:00,2715518274227.0,82.5,60.7,1,,Europe
7700,Marie Besnier Beauvalot,42.0,France,Food & Beverage,D,F,1980-07-30 00:00:00,2715518274227.0,82.5,60.7,1,,Europe
6700,Xavier Niel,55.0,France,Telecom,D,M,1967-08-25 00:00:00,2715518274227.0,82.5,60.7,1,,Europe
6400,Alexei Kuzmichev,60.0,France,Energy,U,M,1962-10-15 00:00:00,2715518274227.0,82.5,60.7,1,3,Europe
6300,Alain Merieux & family,85.0,France,Healthcare,D,M,1938-01-01 00:00:00,2715518274227.0,82.5,60.7,1,,Europe
5000,Michel Leclercq & family,83.0,France,Fashion & Retail,U,M,1939-05-27 00:00:00,2715518274227.0,82.5,60.7,1,,Europe
4200,Marc Ladreit de Lacharriere,82.0,France,Finance & Investments,U,M,1940-11-06 00:00:00,2715518274227.0,82.5,60.7,1,,Europe
4100,Danielle Bellon & family,83.0,France,Service,U,F,1940-02-08 00:00:00,2715518274227.0,82.5,60.7,1,,Europe
3300,Mohed Altrad,75.0,France,Construction & Engineering,D,M,1948-03-09 00:00:00,2715518274227.0,82.5,60.7,1,,Europe
3100,Charles Edelstenne,85.0,France,Manufacturing,D,M,1938-01-03 00:00:00,2715518274227.0,82.5,60.7,1,,Europe
3000,Jean-Pierre Cayard,80.0,France,Food & Beverage,U,M,1943-01-01 00:00:00,2715518274227.0,82.5,60.7,1,,Europe
3000,Gilles Martin,59.0,France,Healthcare,D,M,1963-10-20 00:00:00,2715518274227.0,82.5,60.7,1,3,Europe
2800,Philip Niarchos,69.0,France,Diversified,E,M,1954-01-01 00:00:00,2715518274227.0,82.5,60.7,1,,Europe
2600,Louis Le Duff,76.0,France,Food & Beverage,U,M,1946-08-01 00:00:00,2715518274227.0,82.5,60.7,1,,Europe
2400,Bernard Fraisse & family,66.0,France,Healthcare,E,M,1956-08-10 00:00:00,2715518274227.0,82.5,60.7,1,,Europe
2100,Martin Bouygues,,France,Construction & Engineering,Split Family Fortune,M,,2715518274227.0,82.5,60.7,1,,Europe
2100,Christian Latouche & family,82.0,France,Finance & Investments,D,M,1940-07-18 00:00:00,2715518274227.0,82.5,60.7,1,,Europe
1700,Francois Feuillet & family,74.0,France,Automotive,D,M,1949-01-01 00:00:00,2715518274227.0,82.5,60.7,1,,Europe
1700,Alain Taravella,75.0,France,Real Estate,D,M,1948-01-01 00:00:00,2715518274227.0,82.5,60.7,1,,Europe
1600,Norbert Dentressangle,68.0,France,Logistics,D,M,1954-07-09 00:00:00,2715518274227.0,82.5,60.7,1,,Europe
1500,Philippe Ginestet & family,69.0,France,Fashion & Retail,D,M,1954-01-01 00:00:00,2715518274227.0,82.5,60.7,1,,Europe
