finalWorth,personName,age,country,industries,status,gender,birthDate,gdp_country,life_expectancy_country,total_tax_rate_country,economic_class,education,continent,industry_sector,year,decade,e_class
211.0,Bernard Arnault & family,74.0,France,Fashion & Retail,U,Male,1949-03-05 00:00:00,2715.52,82.5,60.7,1,3.0,Europe,Consumer Discretionary & Staples,1949.0,1940.0,Developed
80.5,Francoise Bettencourt Meyers & family,69.0,France,Fashion & Retail,U,Female,1953-07-10 00:00:00,2715.52,82.5,60.7,1,,Europe,Consumer Discretionary & Staples,1953.0,1950.0,Developed
40.1,François Pinault & family,86.0,France,Fashion & Retail,D,Male,1936-08-21 00:00:00,2715.52,82.5,60.7,1,0.0,Europe,Consumer Discretionary & Staples,1936.0,1930.0,Developed
22.0,Emmanuel Besnier,52.0,France,Food & Beverage,D,Male,1970-09-18 00:00:00,2715.52,82.5,60.7,1,,Europe,Consumer Discretionary & Staples,1970.0,1970.0,Developed
9.8,"Jacques Saadé, Jr.",51.0,France,Logistics,Split Family Fortune,Male,1971-08-10 00:00:00,2715.52,82.5,60.7,1,,Europe,Service,1971.0,1970.0,Developed
9.8,Rodolphe Saadé,53.0,France,Logistics,Split Family Fortune,Male,1970-03-03 00:00:00,2715.52,82.5,60.7,1,,Europe,Service,1970.0,1970.0,Developed
9.8,Tanya Saadé Zeenny,55.0,France,Logistics,Split Family Fortune,Female,1968-02-01 00:00:00,2715.52,82.5,60.7,1,,Europe,Service,1968.0,1960.0,Developed
9.5,Vincent Bolloré & family,71.0,France,Finance & Investments,U,Male,1952-04-01 00:00:00,2715.52,82.5,60.7,1,3.0,Europe,Financials,1952.0,1950.0,Developed
8.1,Laurent Dassault,69.0,France,Diversified,D,Male,1953-07-07 00:00:00,2715.52,82.5,60.7,1,3.0,Europe,Diversified,1953.0,1950.0,Developed
8.1,Thierry Dassault,66.0,France,Diversified,D,Male,1957-03-26 00:00:00,2715.52,82.5,60.7,1,,Europe,Diversified,1957.0,1950.0,Developed
8.1,Marie-Hélène Habert-Dassault,58.0,France,Diversified,D,Female,1965-04-04 00:00:00,2715.52,82.5,60.7,1,,Europe,Diversified,1965.0,1960.0,Developed
7.7,Jean-Michel Besnier,55.0,France,Food & Beverage,D,Male,1967-06-05 00:00:00,2715.52,82.5,60.7,1,,Europe,Consumer Discretionary & Staples,1967.0,1960.0,Developed
7.7,Marie Besnier Beauvalot,42.0,France,Food & Beverage,D,Female,1980-07-30 00:00:00,2715.52,82.5,60.7,1,,Europe,Consumer Discretionary & Staples,1980.0,1980.0,Developed
6.7,Xavier Niel,55.0,France,Telecom,D,Male,1967-08-25 00:00:00,2715.52,82.5,60.7,1,,Europe,Technology,1967.0,1960.0,Developed
6.4,Alexei Kuzmichev,60.0,France,Energy,U,Male,1962-10-15 00:00:00,2715.52,82.5,60.7,1,3.0,Europe,Energy & Industrials & Materials,1962.0,1960.0,Developed
6.3,Alain Merieux & family,85.0,France,Healthcare,D,Male,1938-01-01 00:00:00,2715.52,82.5,60.7,1,,Europe,Service,1938.0,1930.0,Developed
