rank,finalWorth,category,personName,age,country,source,industries,status,gender,birthDate,gdp_country,life_expectancy_country,total_tax_rate_country
1,211000,Fashion & Retail,Bernard Arnault & family,74,France,LVMH,Fashion & Retail,U,M,3/5/1949 0:00,"$2,715,518,274,227.00",82.5,60.7
2,180000,Automotive,Elon Musk,51,United States,"Tesla, SpaceX",Automotive,D,M,6/28/1971 0:00,"$21,427,700,000,000.00",78.5,36.6
3,114000,Technology,Jeff Bezos,59,United States,Amazon,Technology,D,M,1/12/1964 0:00,"$21,427,700,000,000.00",78.5,36.6
4,107000,Technology,Larry Ellison,78,United States,Oracle,Technology,U,M,8/17/1944 0:00,"$21,427,700,000,000.00",78.5,36.6
5,106000,Finance & Investments,Warren Buffett,92,United States,Berkshire Hathaway,Finance & Investments,D,M,8/30/1930 0:00,"$21,427,700,000,000.00",78.5,36.6
6,104000,Technology,Bill Gates,67,United States,Microsoft,Technology,D,M,10/28/1955 0:00,"$21,427,700,000,000.00",78.5,36.6
7,94500,Media & Entertainment,Michael Bloomberg,81,United States,Bloomberg LP,Media & Entertainment,U,M,2/14/1942 0:00,"$21,427,700,000,000.00",78.5,36.6
8,93000,Telecom,Carlos Slim Helu & family,83,Mexico,Telecom,Telecom,U,M,1/28/1940 0:00,"$1,258,286,717,125.00",75,55.1
9,83400,Diversified,Mukesh Ambani,65,India,Diversified,Diversified,D,M,4/19/1957 0:00,"$2,611,000,000,000.00",69.4,49.7
10,80700,Technology,Steve Ballmer,67,United States,Microsoft,Technology,D,M,3/24/1956 0:00,"$21,427,700,000,000.00",78.5,36.6
11,80500,Fashion & Retail,Francoise Bettencourt Meyers & family,69,France,L'Oréal,Fashion & Retail,U,F,7/10/1953 0:00,"$2,715,518,274,227.00",82.5,60.7
12,79200,Technology,Larry Page,50,United States,Google,Technology,D,M,3/26/1973 0:00,"$21,427,700,000,000.00",78.5,36.6
13,77300,Fashion & Retail,Amancio Ortega,87,Spain,Zara,Fashion & Retail,U,M,3/28/1936 0:00,"$1,394,116,310,769.00",83.3,47
14,76000,Technology,Sergey Brin,49,United States,Google,Technology,D,M,8/21/1973 0:00,"$21,427,700,000,000.00",78.5,36.6
