Name,Education
Jeff Bezos,"Bachelor of Arts/Science, Princeton University"
Elon Musk,"Bachelor of Arts/Science, University of Pennsylvania"
Bernard Arnault & family,"Bachelor of Arts/Science, Ecole Polytechnique de Paris"
Bill Gates,"Drop Out, Harvard University"
Mark Zuckerberg,"Drop Out, Harvard University"
Warren Buffett,"Master of Science, Columbia University; Bachelor of Arts/Science, University of Nebraska Lincoln"
Larry Ellison,"Drop Out, University of Chicago; Drop Out, University of Illinois, Urbana-Champaign"
Larry Page,"Master of Science, Stanford University; Bachelor of Arts/Science, University of Michigan"
Sergey Brin,"Master of Science, Stanford University; Bachelor of Arts/Science, University of Maryland, College Park"
Mukesh Ambani,"Drop Out, Stanford University; Bachelor of Science in Engineering, University of Mumbai"
Amancio Ortega,
Francoise Bettencourt Meyers & family,
Zhong Shanshan,
Steve Ballmer,"Bachelor of Arts/Science, Harvard University; Drop Out, Stanford University"
Ma Huateng,"Bachelor of Arts/Science, Shenzhen University"
Carlos Slim Helu & family,"Bachelor of Arts/Science, Universidad Nacional Autonoma de Mexico"
Alice Walton,"Bachelor of Arts/Science, Trinity University"
Jim Walton,"Bachelor of Arts/Science, University of Arkansas"
Rob Walton,"Doctor of Jurisprudence, Columbia University; Bachelor of Arts/Science, University of Arkansas"
Michael Bloomberg,"Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, Johns Hopkins University"
Colin Zheng Huang,"Master, University of Wisconsin Madison; Bachelor of Arts/Science, Zhejiang University"
MacKenzie Scott,"Bachelor of Arts/Science, Princeton University"
Daniel Gilbert,"Bachelor of Arts/Science, Michigan State University; LLB, Wayne State University"
Gautam Adani & family,
Phil Knight & family,"Master of Business Administration, Stanford Graduate School of Business; Bachelor of Arts/Science, University of Oregon"
Jack Ma,"Bachelor of Arts/Science, Hangzhou Teacher's Institute"
Charles Koch,"Bachelor of Arts/Science, Massachusetts Institute of Technology; Master of Science, Massachusetts Institute of Technology"
Julia Koch & family,
Masayoshi Son,"Bachelor of Arts/Science, University of California, Berkeley"
Michael Dell,"Drop Out, The University of Texas at Austin"
Tadashi Yanai & family,"Bachelor of Arts/Science, Waseda University"
François Pinault & family,"Drop Out, High School"
David Thomson & family,"Master of Arts, University of Cambridge"
Beate Heister & Karl Albrecht Jr.,
Wang Wei,
Miriam Adelson,"Bachelor of Science, Hebrew University Jerusalem"
He Xiangjian,
Dieter Schwarz,
Zhang Yiming,"Bachelor of Engineering, Nankai University"
Giovanni Ferrero,
Alain Wertheimer,
Gerard Wertheimer,
Li Ka-shing,"Drop Out, High School"
Qin Yinglin & family,
William Lei Ding,"Bachelor of Arts/Science, University of Electronic Science and Technology of China"
Len Blavatnik,"Master of Science, Columbia University; Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, Moscow State University"
Lee Shau Kee,
Jacqueline Mars,"Bachelor of Arts/Science, Bryn Mawr College"
John Mars,"Diploma, The Hotchkiss School; Bachelor of Arts/Science, Yale University"
Yang Huiyan & family,"Bachelor of Arts/Science, Ohio State University"
Alexey Mordashov & family,"Bachelor of Arts/Science, Leningrad Institute of Economics; Master of Business Administration, University of Northumbria"
Robin Zeng,"Doctorate, Chinese Academy of Social Sciences"
Hui Ka Yan,"Bachelor of Arts/Science, Wuhan U of  Science & Tec"
