Name,Education
Jeff Bezos,Bachelor
Elon Musk,Bachelor
Bernard Arnault & family,Bachelor
Bill Gates,Uni Drop Out
Mark Zuckerberg,Uni Drop Out
Warren Buffett,Master
Larry Ellison,Uni Drop Out
Larry Page,Master
Sergey Brin,Master
Mukesh Ambani,Bachelor
Amancio Ortega,
Francoise Bettencourt Meyers & family,
Zhong Shanshan,
Steve Ballmer,Bachelor
Ma Huateng,Bachelor
Carlos Slim Helu & family,Bachelor
Alice Walton,Bachelor
Jim Walton,Bachelor
Rob Walton,Doctor
Michael Bloomberg,Master
Colin Zheng Huang,Master
MacKenzie Scott,Bachelor
Daniel Gilbert,Bachelor
Gautam Adani & family,
Phil Knight & family,Master
Jack Ma,Bachelor
Charles Koch,Bachelor
Julia Koch & family,
Masayoshi Son,Bachelor
Michael Dell,Uni Drop Out
Tadashi Yanai & family,Bachelor
François Pinault & family,hs dropout
David Thomson & family,Master
Beate Heister & Karl Albrecht Jr.,
Wang Wei,
Miriam Adelson,Bachelor
He Xiangjian,
Dieter Schwarz,
Zhang Yiming,Bachelor
Giovanni Ferrero,
Alain Wertheimer,
Gerard Wertheimer,
Li Ka-shing,hs dropout
Qin Yinglin & family,
William Lei Ding,Bachelor
Len Blavatnik,Master
Lee Shau Kee,
Jacqueline Mars,Bachelor
John Mars,Bachelor
Yang Huiyan & family,Bachelor
Alexey Mordashov & family,Bachelor
Robin Zeng,Doctor
Hui Ka Yan,Bachelor
Susanne Klatten,Master
Vladimir Potanin,Bachelor
Dietrich Mateschitz,Master
Pang Kang,
Klaus-Michael Kuehne,
Vladimir Lisin,Doctor
Wang Xing,Master
German Larrea Mota Velasco & family,
Leonardo Del Vecchio & family,
Takemitsu Takizaki,
Leonard Lauder,Bachelor
Thomas Peterffy,Uni Drop Out
Vagit Alekperov,Bachelor
Leonid Mikhelson,Bachelor
Jim Simons,Bachelor
Jiang Rensheng & family,Associate
Gina Rinehart,
Rupert Murdoch & family,Bachelor
Shiv Nadar,Bachelor
Zhang Zhidong,Bachelor
Iris Fontbona & family,
Lei Jun,Bachelor
Zhang Yong,
Richard Qiangdong Liu,Bachelor
Gennady Timchenko,Bachelor
Stephen Schwarzman,Master
Goh Cheng Liang,
Stefan Quandt,Associate
Li Xiting,Bachelor
Pierre Omidyar,Bachelor
Stefan Persson,Associate
Abigail Johnson,Master
R. Budi Hartono,
Andrew Forrest,Bachelor
Ray Dalio,Master
Michael Hartono,
Li Shufu,Master
Zhong Huijuan,Master
Xu Hang,Master
Lui Che Woo & family,
Emmanuel Besnier,
Laurene Powell Jobs & family,Master
Eric Schmidt,Bachelor
Sun Piaoyang,Bachelor
"Theo Albrecht, Jr. & family",
Alisher Usmanov,Master
Robert Pera,Bachelor
Wu Yajun,University
Fan Hongwei & family,
Dhanin Chearavanont,
Peter Woo,Master
Chen Bang,Master
Andrey Melnichenko,Master
Dustin Moskovitz,Uni Drop Out
Su Hua,Bachelor
Donald Newhouse,Uni Drop Out
Petr Kellner,Bachelor
Lee Man Tat,
Pavel Durov,Master
James Ratcliffe,
Jorge Paulo Lemann & family,Bachelor
Reinhold Wuerth & family,
Charlene de Carvalho-Heineken & family,Bachelor
Radhakishan Damani,
Wang Chuanfu,Master
Steve Cohen,Bachelor
Ken Griffin,Bachelor
Chen Zhiping,Master
"Ernest Garcia, II.",Bachelor
Uday Kotak,Bachelor
Carl Icahn,Bachelor
Suleiman Kerimov & family,Bachelor
"Thomas Frist, Jr. & family",Bachelor
Lukas Walton,Bachelor
Mikhail Fridman,Bachelor
Wei Jianjun & family,Bachelor
Zuo Hui,
Zhou Qunfei & family,
Donald Bren,Bachelor
Hinduja brothers,
Lakshmi Mittal,Bachelor
Georg Schaeffler,
Eric Yuan & family,Master
Wang Jianlin,University
Kwong Siu-hing,
Robin Li,Bachelor
Pallonji Mistry,
Eduardo Saverin,Bachelor
Roman Abramovich,Bachelor
David Tepper,Master
Gong Hongjia & family,Bachelor
Mike Cannon-Brookes,Bachelor
"John Menard, Jr.",Bachelor
Seo Jung-jin,Bachelor
Cheng Yixiao,
Liang Wengen,Bachelor
Scott Farquhar,Bachelor
Finn Rausing,
