Name,Education
Jeff Bezos,3
Elon Musk,3
Bernard Arnault & family,3
Bill Gates,2
Mark Zuckerberg,2
Warren Buffett,4
Larry Ellison,2
Larry Page,4
Sergey Brin,4
Mukesh Ambani,3
Amancio Ortega,
Francoise Bettencourt Meyers & family,
Zhong Shanshan,
Steve Ballmer,3
Ma Huateng,3
Carlos Slim Helu & family,3
Alice Walton,3
Jim Walton,3
Rob Walton,5
Michael Bloomberg,4
Colin Zheng Huang,4
MacKenzie Scott,3
Daniel Gilbert,3
Gautam Adani & family,
Phil Knight & family,4
Jack Ma,3
Charles Koch,3
Julia Koch & family,
Masayoshi Son,3
Michael Dell,2
Tadashi Yanai & family,3
François Pinault & family,0
David Thomson & family,4
Beate Heister & Karl Albrecht Jr.,
Wang Wei,
Miriam Adelson,3
He Xiangjian,
Dieter Schwarz,
Zhang Yiming,3
Giovanni Ferrero,
Alain Wertheimer,
Gerard Wertheimer,
Li Ka-shing,0
Qin Yinglin & family,
William Lei Ding,3
Len Blavatnik,4
Lee Shau Kee,
Jacqueline Mars,3
John Mars,3
Yang Huiyan & family,3
Alexey Mordashov & family,3
Robin Zeng,5
Hui Ka Yan,3
Susanne Klatten,4
Vladimir Potanin,3
Dietrich Mateschitz,4
Pang Kang,
Klaus-Michael Kuehne,
Vladimir Lisin,5
Wang Xing,4
German Larrea Mota Velasco & family,
Leonardo Del Vecchio & family,
Takemitsu Takizaki,
Leonard Lauder,3
Thomas Peterffy,2
Vagit Alekperov,3
Leonid Mikhelson,3
Jim Simons,3
Jiang Rensheng & family,3
Gina Rinehart,
Rupert Murdoch & family,3
Shiv Nadar,3
Zhang Zhidong,3
Iris Fontbona & family,
Lei Jun,3
Zhang Yong,
Richard Qiangdong Liu,3
Gennady Timchenko,3
Stephen Schwarzman,4
Goh Cheng Liang,
Stefan Quandt,3
Li Xiting,3
Pierre Omidyar,3
Stefan Persson,3
Abigail Johnson,4
R. Budi Hartono,
Andrew Forrest,3
Ray Dalio,4
Michael Hartono,
Li Shufu,4
Zhong Huijuan,4
Xu Hang,4
Lui Che Woo & family,
Emmanuel Besnier,
Laurene Powell Jobs & family,4
Eric Schmidt,3
Sun Piaoyang,3
"Theo Albrecht, Jr. & family",
Alisher Usmanov,4
Robert Pera,3
Wu Yajun,3
Fan Hongwei & family,
Dhanin Chearavanont,
Peter Woo,4
Chen Bang,4
Andrey Melnichenko,4
Dustin Moskovitz,2
Su Hua,3
